insert into album (album_id, nombre, anno, grupo_musical) values (1, 'vivamus vestibulum sagittis sapien cum', 1986, 'Dusicyon thous');
insert into album (album_id, nombre, anno, grupo_musical) values (1, 'vivamus vestibulum sagittis sapien cum', 1986, 'Dusicyon thous');
insert into album (album_id, nombre, anno, grupo_musical) values (2, 'congue vivamus metus arcu', 2011, 'unavailable');
insert into album (album_id, nombre, anno, grupo_musical) values (3, 'quis turpis sed ante', 2006, 'Canis mesomelas');
insert into album (album_id, nombre, anno, grupo_musical) values (4, 'augue a suscipit nulla elit ac', 1988, 'Chlamydosaurus kingii');
insert into album (album_id, nombre, anno, grupo_musical) values (5, 'eros elementum pellentesque', 2009, 'Globicephala melas');
insert into album (album_id, nombre, anno, grupo_musical) values (6, 'ipsum primis in faucibus orci luctus', 2006, 'Phalaropus lobatus');
insert into album (album_id, nombre, anno, grupo_musical) values (7, 'nullam molestie nibh in', 2008, 'Terrapene carolina');
insert into album (album_id, nombre, anno, grupo_musical) values (8, 'egestas metus aenean fermentum donec', 2011, 'Sylvilagus floridanus');
insert into album (album_id, nombre, anno, grupo_musical) values (9, 'interdum in ante vestibulum ante', 1995, 'Haliaetus vocifer');
insert into album (album_id, nombre, anno, grupo_musical) values (10, 'donec ut dolor morbi', 2009, 'Gyps bengalensis');
insert into album (album_id, nombre, anno, grupo_musical) values (11, 'mauris eget massa', 1993, 'Vulpes chama');
insert into album (album_id, nombre, anno, grupo_musical) values (12, 'ut tellus nulla ut', 1993, 'Bos taurus');
insert into album (album_id, nombre, anno, grupo_musical) values (13, 'neque sapien placerat ante', 2004, 'Manouria emys');
insert into album (album_id, nombre, anno, grupo_musical) values (14, 'interdum in ante', 1998, 'Centrocercus urophasianus');
insert into album (album_id, nombre, anno, grupo_musical) values (15, 'at turpis a pede posuere', 1992, 'Phoca vitulina');
insert into album (album_id, nombre, anno, grupo_musical) values (16, 'a suscipit nulla elit ac', 2004, 'Carduelis uropygialis');
insert into album (album_id, nombre, anno, grupo_musical) values (17, 'sapien urna pretium', 1992, 'Grus antigone');
